1,9,13,16,18,20,22,24,25,27,28,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,45,46,47,48,49,49,50,51,52,53,53,54,55,55,56,57,58,58,59,60,60,61,61,62,63,63,64,65,65,64,64,64,64,64,63,63,62,61,61,60,59,58,57,56,55,54,52,51,50,48,47,45,43,42,40,38,36,34,33,31,29,27,24,22,20,18,16,14,12,9,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,14,17,19,21,23,25,27,29,30,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,53,54,55,56,57,57,58,59,60,60,61,62,63,63,64,65,65,66,67,67,68,69,69,69,68,68,68,68,68,67,67,66,65,65,64,63,62,61,60,59,58,57,55,54,53,51,50,48,46,45,43,41,39,38,36,34,32,30,28,26,23,21,19,17,15,13,10,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,15,18,20,23,25,27,29,30,32,33,35,36,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,57,58,59,60,61,62,62,63,64,65,65,66,67,68,68,69,70,71,71,72,73,73,74,74,73,73,73,73,73,72,72,71,71,70,69,68,67,67,66,64,63,62,61,60,58,57,55,54,52,50,49,47,45,43,42,40,38,36,34,32,29,27,25,23,21,19,16,14,12,10,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,15,19,21,24,26,28,30,32,34,35,37,38,40,41,42,44,45,46,47,48,50,51,52,53,54,55,56,57,58,59,60,61,61,62,63,64,65,66,67,67,68,69,70,71,71,72,73,74,74,75,76,77,77,78,79,79,78,78,78,78,78,77,77,76,76,75,74,74,73,72,71,70,69,68,66,65,64,62,61,60,58,56,55,53,51,50,48,46,44,42,40,38,36,34,32,30,28,25,23,21,19,16,14,12,10,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,16,20,23,25,27,30,32,34,35,37,39,40,42,43,45,46,47,48,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,66,67,67,68,69,70,71,72,73,73,74,75,76,77,78,78,79,80,81,81,82,83,84,84,83,83,83,83,83,82,82,81,81,80,80,79,78,77,76,75,74,73,72,71,70,68,67,66,64,63,61,59,58,56,54,53,51,49,47,45,43,41,39,37,35,33,31,28,26,24,22,19,17,15,13,10,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,17,21,24,26,29,31,33,35,37,39,41,42,44,45,47,48,50,51,52,53,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,74,75,76,77,78,79,80,81,81,82,83,84,85,85,86,87,88,88,88,87,87,87,87,87,86,86,86,85,85,84,83,83,82,81,80,79,78,77,76,75,73,72,71,70,68,67,65,64,62,60,59,57,55,53,52,50,48,46,44,42,40,38,36,34,32,30,27,25,23,21,19,16,14,12,10,7,5,3,0,0,0,0,0,0,0,0,0
1,13,18,21,25,28,30,33,35,37,39,41,42,44,46,47,49,50,52,53,55,56,57,59,60,61,62,63,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,83,84,85,86,87,88,89,89,90,91,92,93,93,93,92,92,92,92,92,92,91,91,90,90,89,89,88,87,86,86,85,84,83,82,81,80,78,77,76,75,73,72,70,69,67,66,64,63,61,59,57,56,54,52,50,48,46,44,42,40,38,36,34,32,30,28,26,23,21,19,17,15,12,10,8,6,3,0,0,0,0
1,13,18,22,26,29,31,34,36,38,41,42,44,46,48,49,51,53,54,56,57,58,60,61,62,64,65,66,67,69,70,71,72,73,74,75,76,77,78,79,81,81,82,83,84,85,86,87,88,89,90,91,92,93,93,94,95,96,97,98,98,98,97,97,97,97,97,97,96,96,95,95,94,94,93,93,92,91,90,90,89,88,87,86,85,83,82,81,80,79,77,76,74,73,72,70,68,67,65,64,62,60,58,57,55,53,51,49,47,45,43,41,39,37,35,33,31,29,27,25,23,21,19,16,14,12,10,0
1,14,19,23,27,30,33,35,38,40,42,44,46,48,50,52,53,55,57,58,60,61,62,64,65,67,68,69,70,72,73,74,75,76,77,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,97,98,99,100,101,102,103,104,104,103,103,103,103,103,103,102,102,102,101,101,100,100,99,98,98,97,96,95,95,94,93,92,91,90,89,87,86,85,84,83,81,80,78,77,76,74,73,71,69,68,66,64,63,61,59,57,56,54,52,50,48,46,44,42,40,38,36,34,32,30,28,26,24,0
1,14,20,24,28,31,34,37,39,42,44,46,48,50,52,54,56,57,59,60,62,64,65,66,68,69,71,72,73,75,76,77,78,79,81,82,83,84,85,86,87,89,90,91,92,93,94,95,96,97,98,99,100,101,102,102,103,104,105,106,107,108,109,109,108,108,108,108,108,108,108,107,107,107,106,106,105,105,104,103,103,102,101,101,100,99,98,97,96,95,94,93,92,91,90,89,88,86,85,84,82,81,80,78,77,75,74,72,71,69,67,66,64,62,61,59,57,55,54,52,50,48,46,44,43,41,39,0
